,DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
1561,2016,NonResidential,Office,1910.0,1.0,529401.0,87.5,94.1,169.9,176.9,46346964.599999994,19762791.9,26584172.7,5054.7,9.5,41.87724917,-87.62470340000002,quin3,72.0
1562,2016,NonResidential,Office,1914.0,1.0,259000.0,124.7,124.4,273.1,270.0,32305160.0,17614160.0,14691000.0,4027.0,15.5,41.88357029,-87.62621336,quin2,46.0
1563,2016,NonResidential,Office,1914.0,1.0,409072.0,63.5,67.2,144.8,147.2,25988413.8,15281310.8,10707103.0,3385.4,8.3,41.8825726,-87.62779379999999,quin4,88.0
1564,2016,NonResidential,Office,1958.0,1.0,300971.0,85.8,91.3,173.2,178.2,25814943.9,11970834.8,13844109.1,2941.8,9.8,41.88108964,-87.62858918,quin4,86.0
1565,2016,NonResidential,Office,1914.0,1.0,221987.0,109.0,114.7,251.2,255.3,24204654.5,14519233.7,9685420.8,3190.6,14.4,41.88298879,-87.62497233,quin2,52.0
1566,2016,NonResidential,Office,1924.0,1.0,238531.0,91.2,98.1,197.3,204.6,21744242.6,11589973.7,10154268.9,2675.6,11.2,41.88285519,-87.6306155,quin2,60.0
1567,2016,NonResidential,Office,1970.0,1.0,265117.0,108.8,117.9,200.0,209.6,28850926.8,10872208.3,17978718.5,2958.9,11.2,41.88476971,-87.63734502,quin4,82.0
1568,2016,Multifamily Housing,Multifamily Housing,1925.0,1.0,58167.0,104.4,113.3,136.7,144.9,6070852.899999999,753652.8,5317200.1,421.3,7.2,41.80224043,-87.60332678,quin3,70.0
1569,2016,NonResidential,Office,1970.0,1.0,464592.0,57.9,60.4,181.9,189.7,26910440.6,26910440.6,6267428.2,4960.2,10.7,41.88129971,-87.63118259999999,quin3,78.0
1570,2016,NonResidential,Office,1929.0,1.0,309652.0,70.6,74.7,142.7,145.3,21873616.5,10154821.7,11718794.8,2494.2,8.1,41.88638306,-87.63427616,quin4,88.0
1571,2016,Multifamily Housing,Multifamily Housing,2005.0,1.0,51264.0,65.7,68.5,102.5,104.0,3367100.4,822312.5,2544787.9,286.7,5.6,42.01036185,-87.66829765,quin4,83.0
1572,2016,Multifamily Housing,Multifamily Housing,1926.0,1.0,53092.0,52.7,56.1,124.7,133.9,2795802.2,1763202.2,1032600.0,379.8,7.2,41.80224043,-87.60332678,quin3,61.0
1573,2016,Multifamily Housing,Multifamily Housing,1972.0,1.0,161000.0,42.4,44.2,107.5,112.5,6820154.300000001,4851157.7,1968996.6,998.8,6.2,41.9398511,-87.65844752,quin3,72.0
1574,2016,Multifamily Housing,Multifamily Housing,1930.0,1.0,68000.0,82.0,85.3,89.2,92.6,5575381.9,324481.2,5475696.9,309.3,4.5,42.01036185,-87.66829765,quin4,86.0
1575,2016,Multifamily Housing,Multifamily Housing,2001.0,1.0,111004.0,44.2,47.1,89.3,92.4,4902363.199999999,2277649.9,2624713.3,559.2,5.0,41.89158015,-87.63783734,quin4,91.0
1576,2016,NonResidential,Office,1972.0,1.0,2054590.0,69.1,71.4,181.4,183.9,190083796.29999998,124794002.0,46743356.1,28903.4,10.5,41.88494749,-87.62313016,quin4,88.0
1577,2016,Multifamily Housing,Multifamily Housing,1969.0,1.0,757935.0,80.8,89.4,110.2,118.2,61218684.099999994,9202911.2,52015772.9,4459.1,5.9,41.93329168,-87.63716558,quin4,81.0
1578,2016,Multifamily Housing,Multifamily Housing,1971.0,1.0,192329.0,145.2,159.6,229.3,244.4,27918426.9,7070902.6,20847524.3,2410.6,12.5,41.92554767,-87.64131151,quin0,4.0
1579,2016,Multifamily Housing,Multifamily Housing,2004.0,1.0,107040.0,93.2,96.1,156.5,153.7,9975355.5,3002454.2,6972901.3,923.8,8.6,41.82021138,-87.61246867,quin0,16.0
1580,2016,Multifamily Housing,Multifamily Housing,1920.0,1.0,50560.0,94.1,82.7,105.3,156.05,4705348.9,324481.2,4549284.0,270.4,5.4,41.92075046,-87.70152825,quin4,97.0
1581,2016,NonResidential,Hospital,1960.0,2.0,681807.0,226.3,230.0,428.7,428.2,154326413.3,62319122.3,92007291.0,16373.7,24.0,41.93498449,-87.63728308,quin2,47.0
1582,2016,Multifamily Housing,Multifamily Housing,1957.0,2.0,502673.0,107.3,118.0,154.2,163.8,53924339.9,9992659.6,43931680.3,4175.3,8.3,41.932938,-87.63875300000001,quin2,43.0
