,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
1954,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.762680069815575,-0.06363862489939465,-1.2484792333115526,2.8184747812675277,2.787073121945256,2.9249986737996054,2.9550663133326847,0.23525594512809284,0.3659723705728584,0.3060029107470672,0.2685907404383791,2.8994739680688504,1.6080781268478608,-0.09366990153014959,quin3,61.0
1955,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0101779875365804,-0.06363862489939465,-0.20338911518925298,1.2736125213477942,1.233692726814341,1.4151257378469602,1.4069476315172924,0.36610160071031433,0.5294312572527177,0.3595309976531921,0.425864557648136,1.3428832446944807,0.31811347050347333,0.014847153165689188,quin1,31.0
1956,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8176796070869096,-0.06363862489939465,-0.7894150143336612,0.7627150859827457,0.6733933983781516,1.6884079143266195,1.678594378736596,-0.38164955919628896,0.39753422097804697,-2.837788461844288,0.07894421600667169,1.669587314318683,0.21940132950417365,0.6266754699647239,quin1,37.0
1957,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.762680069815575,-0.06363862489939465,-0.6530628954547646,0.5103375553090105,0.4169616122470418,1.4851448223905546,1.46739774074173,-0.36781880513021264,0.4293363484840362,-0.04844109688272877,0.10830698271053482,1.4799293324447913,-0.08703567390615356,0.5389316117555597,quin1,34.0
1958,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.437301421037806,-0.06363862489939465,-0.5709450109942703,0.41707960077632683,0.35087402641590276,1.279654616948575,1.2663413426818213,-0.3345345628234652,0.3911611951297089,-1.8135138308332166,0.08693970085308853,1.2707308080178794,0.09913008072036025,0.5118578312895188,quin1,34.0
1959,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.175176599350584,-0.06363862489939465,-1.0306600284698475,0.49917230642686333,0.5329168612855052,0.14700083363707594,0.1439479771245078,-0.71294068758273,-0.7962271668740026,-0.27618957490023766,-0.826084004593182,0.07139870831715751,-0.512117730871449,-0.3205526852909925,quin2,51.0
1960,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.175176599350584,-0.06363862489939465,-0.604280204721538,0.3701248264826366,0.3784578525136498,0.726421303736054,0.7150974653583568,-0.38446151493673875,0.035775060429399805,-0.49838879855976476,-0.19162578122644314,0.6942824008304386,-1.0818753140737833,-0.5838152414172667,quin2,49.0
1961,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.2026763679862513,-0.06363862489939465,-0.1417597612495321,0.18462432578039184,0.15773919435944544,0.6445907360411588,0.6188450360817015,-0.048520764389047365,0.37313661519045066,-0.3182605083263562,0.16409007913010284,0.6281926686690111,1.6011023615658995,-0.549080525913706,quin4,81.0
1962,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.175176599350584,-0.06363862489939465,-0.36100045444197915,-2.0295368050555824,-2.1365099607384392,-1.029534657856178,-1.1326113120746926,-1.2016048186234722,-0.3059708234403972,-2.7629076518738387,-0.7092458273982151,-0.937400832286631,0.553027899018721,-0.33899416959664397,quin4,93.0
1963,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.2026763679862513,-0.06363862489939465,0.7760264716180787,-0.05486122314350422,-0.02885842760315084,-0.1665203751972752,-0.18477846637247608,0.6734803654830117,0.5337396790585386,0.8674979376473044,0.5635591288624919,-0.21260876000139523,0.21331676101989688,0.3924664728541496,quin2,46.0
