,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility
3471,0.3776866367699244,-0.1859171842970881,-0.670647622417026,1.419594959712173,1.5285524557431194,0.646184258824437,0.692639504348959,-0.4984683072106229,-0.5107475458064662,-0.3520264683891799,-0.5095302919936693,0.48682153788293475,-0.7428700278960613,0.6595917625784729,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3472,-1.558707822984431,-0.1859171842970881,-0.6287540452220578,0.030404792193988246,0.00034912102822027684,0.41643869651638515,0.40880218119305867,-0.5557637517060402,-0.419591285505297,-0.5939946740812021,-0.47827653304825124,0.38585094269721465,-0.04212058774829707,0.5435693536953047,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3473,1.2628955326576297,-0.1859171842970881,-0.5403032455815796,-0.4385858083601512,-0.5185394037961796,0.40119009724815163,0.35756800733820293,-0.5356401767200188,-0.28931262925175316,-0.3520264683891799,-0.3943722109563213,0.4195078077591212,-0.5716850522818481,0.5696970019941345,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3474,0.23937274678747048,2.9479943505513213,-0.32895023059509615,0.05929994767836643,0.10325106476976798,-0.3988530776918343,-0.39454966485107873,-0.2783168584295632,-0.44825410425457324,0.03554277795878472,-0.38838190715844956,-0.47239911638140675,-1.1163947307407398,1.284838196043637,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3475,1.2628955326576297,-0.1859171842970881,0.17309787419977432,-0.5763934729779551,-0.5710850771961186,-0.5950517216097722,-0.5974369933163073,-0.10615314237359982,-0.20500545581925722,0.0833081568331548,-0.1800034797281336,-0.6070265766290336,-0.1272418927929,0.5562432512431651,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3476,-1.4480567109984677,-0.1859171842970881,-0.6077061699964132,-0.11629368949593229,-0.1945077511632211,0.8637309417179018,0.8340458241883606,-0.5508914672907196,-0.3140823660398678,-0.3520264683891799,-0.41396591367979496,0.8738754860948621,-0.054641102417649065,0.27963944019719594,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3477,1.2628955326576297,-0.1859171842970881,-0.3426133178229581,-0.5608345431017513,-0.5907897047210959,-0.24636708500949903,-0.27158764759942505,-0.42599027826108643,-0.28569416237759243,-0.4930239260760631,-0.3501160869111749,-0.2536294934790131,-1.124451677795347,-1.5540902212049719,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3478,1.235232754661139,-0.1859171842970881,-0.6618530857670585,-0.47192637238058766,-0.47256193957123255,0.010825955981373269,0.026595244235835033,-0.6220150275622357,-0.47172525677667815,-0.6668506828177186,-0.5342127477762045,0.015625427016240576,-1.1278668694024827,-0.8645197547539906,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3479,1.345883866647102,-0.1859171842970881,-0.6486025412649328,0.15265352693558853,0.15579673816970702,0.3859414979799181,0.3852344612198249,-0.564012026620307,-0.45063965617661134,-0.5708076244242501,-0.49959319940589525,0.33536564510435446,-1.2318079673310456,-1.1009686184871166,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3480,1.4012094226400837,-0.1859171842970881,-0.6101131245750467,-0.022940110238710187,-0.028113118730080072,0.18262684107013774,0.1628781466897513,-0.5439559396063979,-0.4357945963116954,-0.5475208787229932,-0.4832050104204133,0.15025288726386757,-1.1353539161316248,-1.1476089309639073,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
